plant_type,location,sunlight,soil_type,soil_moisture,nitrogen,phosphorus,potassium,soil_ph,recommended_fertilizer
Indoor Plant,Outdoor Garden,Medium,Potting Mix,High,54,38,40,7.5,Liquid Fertilizer
Flower Plant,Rooftop,Low,Potting Mix,Medium,23,75,31,7.3,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Loamy,Medium,37,67,36,7.1,Balanced NPK
Indoor Plant,Outdoor Garden,Low,Sandy,High,79,20,63,6.2,Phosphorus Rich
Flower Plant,Balcony,Low,Loamy,Low,62,62,21,7.5,Balanced NPK
Leafy Ornamental,Indoor,Medium,Potting Mix,Medium,26,36,54,5.8,Nitrogen Rich
Flower Plant,Rooftop,Low,Potting Mix,Low,36,49,56,6.9,Bone Meal
Vegetable Plant,Balcony,High,Sandy,Low,56,78,71,7.2,Balanced NPK
Leafy Ornamental,Rooftop,Medium,Loamy,Low,20,72,70,5.4,Nitrogen Rich
Leafy Ornamental,Indoor,Medium,Loamy,Low,52,57,75,7.5,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Medium,55,20,27,7.4,Phosphorus Rich
Flower Plant,Outdoor Garden,High,Potting Mix,Low,41,22,74,5.8,Phosphorus Rich
Indoor Plant,Outdoor Garden,High,Loamy,High,28,37,67,7.3,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Low,23,35,72,7.4,Nitrogen Rich
Flower Plant,Balcony,Low,Loamy,Medium,36,58,45,7.0,Bone Meal
Flower Plant,Rooftop,High,Clay,Medium,23,68,78,7.3,Nitrogen Rich
Leafy Ornamental,Rooftop,Medium,Potting Mix,Medium,36,33,58,6.5,Phosphorus Rich
Vegetable Plant,Rooftop,High,Clay,High,53,21,32,5.6,Phosphorus Rich
Indoor Plant,Outdoor Garden,High,Clay,Low,38,55,46,6.6,Liquid Fertilizer
Flower Plant,Indoor,High,Clay,Low,41,23,68,7.1,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,High,Sandy,Medium,57,21,73,5.8,Phosphorus Rich
Succulent,Rooftop,Low,Potting Mix,Medium,30,26,23,6.5,Nitrogen Rich
Herb,Balcony,Medium,Clay,Medium,56,64,34,6.4,Balanced NPK
Leafy Ornamental,Indoor,Medium,Sandy,Medium,80,36,74,6.8,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Medium,45,53,63,7.2,Liquid Fertilizer
Leafy Ornamental,Balcony,High,Potting Mix,Medium,63,79,51,6.9,Nitrogen Rich
Herb,Balcony,Medium,Potting Mix,Medium,44,80,20,6.1,Balanced NPK
Flower Plant,Outdoor Garden,Medium,Sandy,Medium,74,76,70,6.2,Bone Meal
Indoor Plant,Rooftop,Low,Sandy,High,20,32,47,6.3,Nitrogen Rich
Flower Plant,Rooftop,Medium,Loamy,High,63,80,57,6.6,Bone Meal
Indoor Plant,Balcony,Low,Loamy,Medium,27,45,21,5.3,Nitrogen Rich
Succulent,Balcony,Medium,Potting Mix,Medium,28,64,78,6.1,Nitrogen Rich
Succulent,Balcony,High,Sandy,Low,62,67,26,6.1,Balanced NPK
Herb,Outdoor Garden,High,Sandy,Medium,40,29,36,7.1,Phosphorus Rich
Succulent,Indoor,Low,Clay,Low,51,44,76,5.7,Compost
Succulent,Rooftop,High,Loamy,Low,33,59,68,7.4,Nitrogen Rich
Flower Plant,Balcony,Low,Potting Mix,Low,53,61,54,7.5,Bone Meal
Flower Plant,Rooftop,High,Potting Mix,Low,38,65,75,5.1,Bone Meal
Indoor Plant,Balcony,High,Potting Mix,High,39,49,41,5.7,Liquid Fertilizer
Herb,Rooftop,High,Potting Mix,Medium,22,37,68,6.5,Nitrogen Rich
Succulent,Indoor,High,Potting Mix,Medium,54,24,58,5.8,Phosphorus Rich
Herb,Balcony,High,Potting Mix,Medium,34,59,44,5.2,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Low,41,50,33,7.3,Balanced NPK
Herb,Indoor,Low,Sandy,Medium,71,27,65,6.7,Phosphorus Rich
Vegetable Plant,Outdoor Garden,High,Clay,Low,22,50,74,6.8,Nitrogen Rich
Flower Plant,Indoor,High,Potting Mix,High,49,71,24,6.7,Balanced NPK
Herb,Indoor,Medium,Clay,High,49,31,34,6.0,Phosphorus Rich
Vegetable Plant,Indoor,Low,Sandy,Medium,54,74,41,6.1,Balanced NPK
Succulent,Outdoor Garden,Medium,Sandy,Low,44,40,71,6.2,Compost
Flower Plant,Indoor,High,Loamy,High,73,27,30,7.1,Phosphorus Rich
Succulent,Balcony,High,Loamy,Medium,56,63,57,5.2,Compost
Herb,Indoor,High,Clay,Low,66,64,42,6.7,Nitrogen Rich
Succulent,Balcony,Medium,Loamy,Medium,65,34,23,6.8,Phosphorus Rich
Vegetable Plant,Rooftop,Medium,Potting Mix,Low,27,53,40,5.9,Nitrogen Rich
Herb,Outdoor Garden,Low,Potting Mix,Low,47,68,59,7.1,Nitrogen Rich
Vegetable Plant,Indoor,Medium,Clay,Low,20,23,67,6.8,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Potting Mix,Low,29,35,69,7.2,Nitrogen Rich
Indoor Plant,Indoor,High,Potting Mix,Medium,69,22,48,6.9,Phosphorus Rich
Succulent,Outdoor Garden,Low,Potting Mix,High,67,30,31,6.8,Phosphorus Rich
Succulent,Balcony,High,Clay,Low,49,79,33,6.9,Balanced NPK
Vegetable Plant,Outdoor Garden,High,Loamy,Medium,27,71,74,6.6,Nitrogen Rich
Succulent,Outdoor Garden,High,Loamy,Medium,46,60,72,7.2,Compost
Vegetable Plant,Outdoor Garden,High,Clay,High,77,73,49,7.1,Balanced NPK
Leafy Ornamental,Rooftop,High,Potting Mix,Low,78,23,73,6.8,Phosphorus Rich
Flower Plant,Rooftop,Medium,Sandy,Medium,64,71,51,6.1,Bone Meal
Succulent,Balcony,Low,Potting Mix,Low,69,60,26,6.2,Balanced NPK
Flower Plant,Indoor,Medium,Sandy,Low,42,44,70,5.1,Bone Meal
Vegetable Plant,Indoor,Low,Sandy,Medium,63,45,74,6.2,Balanced NPK
Vegetable Plant,Rooftop,Medium,Sandy,Medium,27,29,76,6.1,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,33,67,40,5.0,Nitrogen Rich
Vegetable Plant,Rooftop,High,Potting Mix,Low,56,66,58,7.3,Balanced NPK
Leafy Ornamental,Balcony,Low,Sandy,Medium,78,66,46,6.2,Nitrogen Rich
Flower Plant,Rooftop,Medium,Sandy,Low,67,42,39,5.6,Bone Meal
Indoor Plant,Outdoor Garden,High,Loamy,High,24,40,52,5.8,Nitrogen Rich
Herb,Balcony,Medium,Loamy,Medium,46,23,72,5.7,Phosphorus Rich
Herb,Rooftop,High,Sandy,High,33,47,59,5.1,Nitrogen Rich
Leafy Ornamental,Indoor,Medium,Clay,Low,62,72,31,6.0,Balanced NPK
Indoor Plant,Rooftop,Medium,Sandy,High,59,75,50,5.6,Liquid Fertilizer
Flower Plant,Rooftop,High,Sandy,High,47,44,48,6.1,Bone Meal
Vegetable Plant,Balcony,High,Sandy,Medium,34,67,60,5.4,Nitrogen Rich
Flower Plant,Indoor,High,Potting Mix,High,37,34,41,5.6,Phosphorus Rich
Flower Plant,Outdoor Garden,Low,Potting Mix,High,62,20,43,6.4,Phosphorus Rich
Indoor Plant,Rooftop,High,Sandy,Medium,48,34,31,5.3,Phosphorus Rich
Herb,Outdoor Garden,High,Potting Mix,Medium,42,41,73,5.9,Nitrogen Rich
Herb,Indoor,Medium,Sandy,Low,48,20,67,5.9,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Clay,Low,59,80,43,5.1,Vermicompost
Herb,Outdoor Garden,Medium,Clay,Low,28,69,32,5.9,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,High,Loamy,Medium,55,45,58,5.4,Nitrogen Rich
Herb,Rooftop,Medium,Potting Mix,Low,22,44,61,5.5,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Clay,Low,50,71,68,7.4,Nitrogen Rich
Herb,Balcony,Low,Loamy,Medium,76,53,36,6.5,Nitrogen Rich
Flower Plant,Indoor,Low,Potting Mix,Low,37,68,75,5.6,Bone Meal
Vegetable Plant,Indoor,High,Sandy,High,51,47,64,5.4,Vermicompost
Flower Plant,Balcony,Medium,Sandy,Medium,37,63,44,5.2,Bone Meal
Flower Plant,Outdoor Garden,Medium,Loamy,Low,71,29,28,7.1,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Sandy,Low,26,37,53,6.7,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Clay,Low,69,73,55,6.5,Bone Meal
Leafy Ornamental,Balcony,Low,Potting Mix,Medium,55,62,68,7.3,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Potting Mix,High,27,51,68,7.3,Nitrogen Rich
Flower Plant,Indoor,High,Sandy,High,74,21,40,6.3,Phosphorus Rich
Succulent,Indoor,Medium,Sandy,High,27,37,21,5.5,Nitrogen Rich
Vegetable Plant,Indoor,Medium,Sandy,High,73,67,27,6.7,Balanced NPK
Indoor Plant,Balcony,Medium,Loamy,Medium,61,53,66,7.1,Liquid Fertilizer
Herb,Indoor,High,Loamy,Low,69,35,24,5.2,Balanced NPK
Leafy Ornamental,Outdoor Garden,High,Clay,Medium,21,76,28,7.4,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Potting Mix,Medium,73,47,69,5.6,Liquid Fertilizer
Succulent,Indoor,Low,Clay,High,53,75,32,6.0,Balanced NPK
Flower Plant,Indoor,Medium,Clay,High,52,72,55,7.0,Bone Meal
Vegetable Plant,Balcony,High,Sandy,Low,44,20,75,6.4,Phosphorus Rich
Indoor Plant,Rooftop,Low,Sandy,High,73,36,67,6.1,Liquid Fertilizer
Herb,Balcony,Medium,Sandy,Medium,45,42,51,7.1,Nitrogen Rich
Succulent,Indoor,Low,Sandy,Medium,56,59,42,7.1,Compost
Vegetable Plant,Rooftop,High,Potting Mix,Medium,61,26,45,5.7,Phosphorus Rich
Indoor Plant,Outdoor Garden,Low,Clay,Low,70,76,28,6.9,Balanced NPK
Flower Plant,Indoor,Medium,Loamy,Medium,77,66,55,7.3,Bone Meal
Herb,Balcony,Low,Loamy,Medium,26,77,33,6.7,Nitrogen Rich
Succulent,Balcony,Medium,Potting Mix,Medium,40,54,45,5.3,Compost
Leafy Ornamental,Indoor,High,Clay,High,32,56,35,5.8,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Clay,High,72,79,37,7.1,Liquid Fertilizer
Leafy Ornamental,Outdoor Garden,High,Clay,High,54,79,52,5.3,Nitrogen Rich
Flower Plant,Indoor,Medium,Potting Mix,Medium,44,59,32,5.4,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,64,30,28,5.6,Phosphorus Rich
Succulent,Rooftop,Low,Loamy,Medium,41,34,77,5.6,Phosphorus Rich
Succulent,Rooftop,High,Clay,Medium,60,50,73,6.4,Compost
Leafy Ornamental,Indoor,Low,Loamy,High,21,25,75,6.1,Nitrogen Rich
Indoor Plant,Indoor,Medium,Loamy,High,38,43,75,7.3,Liquid Fertilizer
Flower Plant,Outdoor Garden,High,Clay,Medium,49,34,69,5.9,Phosphorus Rich
Flower Plant,Balcony,Low,Clay,High,35,59,24,5.1,Balanced NPK
Flower Plant,Rooftop,Low,Sandy,High,47,73,62,6.9,Bone Meal
Herb,Indoor,Medium,Potting Mix,High,51,67,36,6.2,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Sandy,Low,62,75,23,5.7,Balanced NPK
Succulent,Rooftop,High,Clay,Low,67,49,74,6.4,Compost
Herb,Indoor,Low,Potting Mix,Medium,65,50,70,6.6,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Clay,Low,28,40,33,6.5,Nitrogen Rich
Succulent,Rooftop,Low,Clay,Low,43,76,68,6.2,Compost
Herb,Rooftop,Medium,Potting Mix,Medium,43,48,63,5.8,Nitrogen Rich
Flower Plant,Indoor,High,Clay,Low,25,26,79,7.3,Nitrogen Rich
Succulent,Balcony,Medium,Sandy,Low,65,44,32,6.3,Balanced NPK
Succulent,Outdoor Garden,High,Potting Mix,High,73,52,75,5.7,Compost
Indoor Plant,Balcony,Medium,Clay,High,60,64,76,6.5,Liquid Fertilizer
Succulent,Rooftop,Medium,Clay,Medium,68,50,23,7.2,Balanced NPK
Succulent,Rooftop,High,Loamy,High,41,35,28,6.6,Balanced NPK
Indoor Plant,Rooftop,Medium,Clay,Medium,25,74,46,6.8,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,High,Clay,Medium,67,48,61,6.1,Nitrogen Rich
Leafy Ornamental,Indoor,High,Potting Mix,Low,65,46,67,7.3,Nitrogen Rich
Flower Plant,Balcony,High,Clay,High,40,70,57,5.3,Bone Meal
Indoor Plant,Indoor,High,Clay,High,48,31,34,7.4,Phosphorus Rich
Vegetable Plant,Indoor,Low,Clay,Medium,33,51,51,6.4,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Loamy,High,78,70,57,5.9,Bone Meal
Vegetable Plant,Balcony,High,Potting Mix,High,49,56,25,6.8,Balanced NPK
Succulent,Rooftop,Low,Sandy,Low,55,65,61,5.3,Compost
Indoor Plant,Indoor,High,Clay,Low,52,72,46,6.7,Liquid Fertilizer
Succulent,Indoor,Medium,Loamy,Medium,25,40,51,5.8,Nitrogen Rich
Vegetable Plant,Indoor,Medium,Sandy,High,64,45,48,5.2,Vermicompost
Leafy Ornamental,Indoor,High,Sandy,Low,65,36,60,7.4,Nitrogen Rich
Succulent,Outdoor Garden,Low,Clay,Low,62,31,50,7.1,Phosphorus Rich
Leafy Ornamental,Balcony,High,Potting Mix,Medium,42,65,62,5.3,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Clay,Low,49,27,57,6.2,Phosphorus Rich
Leafy Ornamental,Balcony,Low,Loamy,High,33,75,78,5.6,Nitrogen Rich
Flower Plant,Balcony,Low,Potting Mix,Medium,43,63,48,6.7,Bone Meal
Herb,Outdoor Garden,Low,Clay,High,70,72,28,6.0,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Sandy,Low,62,24,20,5.7,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,High,Sandy,Medium,20,50,78,6.2,Nitrogen Rich
Leafy Ornamental,Rooftop,High,Sandy,Medium,25,80,62,7.5,Nitrogen Rich
Succulent,Indoor,Medium,Clay,Medium,45,76,65,7.4,Compost
Succulent,Outdoor Garden,High,Clay,Medium,29,70,74,7.2,Nitrogen Rich
Leafy Ornamental,Indoor,Medium,Sandy,Low,38,69,34,5.9,Balanced NPK
Herb,Rooftop,High,Sandy,Low,29,42,68,5.5,Nitrogen Rich
Succulent,Balcony,High,Loamy,Medium,40,54,48,6.8,Compost
Herb,Outdoor Garden,Low,Clay,High,20,50,55,6.9,Nitrogen Rich
Leafy Ornamental,Indoor,High,Potting Mix,Low,53,64,34,6.6,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Clay,High,46,67,63,7.4,Balanced NPK
Indoor Plant,Rooftop,High,Potting Mix,Low,36,59,64,6.6,Liquid Fertilizer
Succulent,Rooftop,High,Potting Mix,High,79,35,26,6.9,Balanced NPK
Herb,Rooftop,Medium,Clay,Medium,64,39,36,5.6,Nitrogen Rich
Indoor Plant,Balcony,Low,Clay,Medium,76,45,33,7.5,Balanced NPK
Indoor Plant,Outdoor Garden,Low,Potting Mix,Low,65,79,27,7.0,Balanced NPK
Indoor Plant,Balcony,High,Sandy,Medium,36,23,48,6.3,Phosphorus Rich
Leafy Ornamental,Indoor,Medium,Sandy,Low,33,67,61,5.9,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Loamy,High,46,43,79,5.4,Bone Meal
Leafy Ornamental,Rooftop,High,Clay,High,67,54,45,6.1,Nitrogen Rich
Herb,Indoor,Medium,Clay,Medium,53,57,57,6.8,Nitrogen Rich
Indoor Plant,Outdoor Garden,Low,Loamy,High,57,78,58,6.0,Liquid Fertilizer
Succulent,Indoor,Medium,Clay,High,55,31,72,7.4,Phosphorus Rich
Indoor Plant,Indoor,High,Loamy,High,35,33,69,6.7,Phosphorus Rich
Indoor Plant,Rooftop,Low,Potting Mix,High,56,32,50,7.0,Phosphorus Rich
Herb,Indoor,Low,Sandy,Low,47,68,54,7.1,Nitrogen Rich
Vegetable Plant,Indoor,Medium,Potting Mix,Medium,25,64,28,6.9,Nitrogen Rich
Indoor Plant,Balcony,Low,Clay,Low,66,57,42,7.0,Liquid Fertilizer
Indoor Plant,Outdoor Garden,Medium,Clay,Medium,55,58,30,5.4,Balanced NPK
Leafy Ornamental,Balcony,Medium,Loamy,High,54,40,55,6.2,Nitrogen Rich
Indoor Plant,Outdoor Garden,Low,Sandy,High,29,69,29,6.4,Nitrogen Rich
Leafy Ornamental,Rooftop,High,Loamy,Low,42,80,29,6.4,Balanced NPK
Herb,Outdoor Garden,Low,Clay,High,77,32,42,7.0,Phosphorus Rich
Succulent,Outdoor Garden,Medium,Potting Mix,Low,46,53,62,5.8,Compost
Leafy Ornamental,Outdoor Garden,Medium,Potting Mix,Medium,63,43,40,5.1,Nitrogen Rich
Leafy Ornamental,Rooftop,High,Loamy,Low,68,20,79,7.4,Phosphorus Rich
Succulent,Balcony,High,Sandy,High,54,23,79,6.3,Phosphorus Rich
Vegetable Plant,Outdoor Garden,High,Clay,Medium,68,21,67,6.7,Phosphorus Rich
Succulent,Indoor,High,Sandy,Medium,53,20,26,5.0,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Potting Mix,Medium,36,51,47,5.2,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Potting Mix,Medium,32,73,44,7.0,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Medium,Loamy,Low,34,39,72,6.1,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Loamy,Medium,56,77,75,5.4,Vermicompost
Leafy Ornamental,Outdoor Garden,Low,Sandy,High,79,24,42,5.0,Phosphorus Rich
Flower Plant,Outdoor Garden,Medium,Loamy,High,76,60,51,5.6,Bone Meal
Vegetable Plant,Indoor,Medium,Loamy,Low,58,38,20,5.8,Balanced NPK
Leafy Ornamental,Indoor,Medium,Potting Mix,Low,68,46,21,6.6,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Sandy,Medium,42,80,57,6.2,Nitrogen Rich
Flower Plant,Outdoor Garden,Medium,Sandy,High,54,68,67,7.3,Bone Meal
Succulent,Indoor,High,Sandy,Medium,68,39,51,7.4,Compost
Flower Plant,Outdoor Garden,Medium,Clay,Low,59,48,61,6.3,Bone Meal
Vegetable Plant,Outdoor Garden,Medium,Clay,High,75,43,48,5.3,Vermicompost
Indoor Plant,Balcony,Medium,Clay,High,58,79,44,5.2,Liquid Fertilizer
Herb,Rooftop,High,Clay,Low,41,50,36,6.2,Nitrogen Rich
Herb,Balcony,Low,Potting Mix,High,30,25,29,5.6,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Medium,Clay,Medium,77,72,24,7.0,Balanced NPK
Succulent,Indoor,High,Potting Mix,Medium,43,51,57,7.2,Compost
Succulent,Rooftop,Low,Loamy,High,22,60,69,5.1,Nitrogen Rich
Indoor Plant,Balcony,High,Sandy,Medium,38,42,67,5.3,Liquid Fertilizer
Flower Plant,Outdoor Garden,Medium,Clay,Medium,22,40,66,6.4,Nitrogen Rich
Succulent,Rooftop,Medium,Clay,Low,38,46,28,7.1,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Loamy,Low,59,34,35,7.3,Phosphorus Rich
Indoor Plant,Outdoor Garden,Medium,Loamy,Low,43,76,70,5.5,Liquid Fertilizer
Leafy Ornamental,Balcony,High,Potting Mix,Medium,79,78,72,6.5,Nitrogen Rich
Succulent,Indoor,High,Potting Mix,Low,52,31,66,6.8,Phosphorus Rich
Succulent,Outdoor Garden,Low,Potting Mix,High,51,68,60,5.8,Compost
Herb,Rooftop,High,Potting Mix,Low,49,74,80,6.1,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Loamy,High,61,72,52,6.8,Liquid Fertilizer
Herb,Outdoor Garden,Medium,Sandy,High,51,62,56,7.5,Nitrogen Rich
Succulent,Balcony,Medium,Sandy,Low,63,61,38,5.7,Compost
Vegetable Plant,Indoor,Medium,Loamy,High,45,30,80,6.5,Phosphorus Rich
Leafy Ornamental,Indoor,High,Sandy,Low,79,48,59,5.6,Nitrogen Rich
Flower Plant,Rooftop,Medium,Clay,Low,48,53,30,5.9,Balanced NPK
Herb,Rooftop,Low,Clay,High,39,62,25,6.8,Balanced NPK
Herb,Outdoor Garden,Low,Sandy,Medium,48,40,33,6.5,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Clay,High,40,55,25,6.8,Balanced NPK
Succulent,Outdoor Garden,High,Sandy,High,62,52,39,5.0,Compost
Vegetable Plant,Balcony,Low,Sandy,Medium,32,67,45,5.8,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,High,33,75,59,7.4,Nitrogen Rich
Indoor Plant,Outdoor Garden,High,Sandy,Medium,25,71,32,7.1,Nitrogen Rich
Herb,Outdoor Garden,Medium,Loamy,Low,69,28,54,5.3,Phosphorus Rich
Herb,Rooftop,High,Potting Mix,Low,72,79,31,6.2,Balanced NPK
Succulent,Balcony,Low,Potting Mix,High,76,72,55,6.9,Compost
Indoor Plant,Balcony,High,Loamy,Medium,25,34,50,5.3,Nitrogen Rich
Flower Plant,Indoor,Medium,Loamy,High,22,73,53,5.9,Nitrogen Rich
Flower Plant,Indoor,Medium,Clay,High,78,52,33,7.4,Balanced NPK
Herb,Indoor,Medium,Potting Mix,Low,32,54,45,6.1,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,50,43,79,5.9,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Clay,Medium,26,71,20,5.8,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Medium,Loamy,Medium,20,38,22,5.4,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Clay,Medium,53,48,29,5.5,Balanced NPK
Herb,Balcony,Medium,Potting Mix,High,29,22,53,5.1,Nitrogen Rich
Vegetable Plant,Indoor,Low,Clay,Low,43,23,70,6.2,Phosphorus Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Medium,20,53,62,5.3,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Clay,High,43,60,44,7.4,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Low,65,37,48,6.7,Liquid Fertilizer
Vegetable Plant,Indoor,Low,Sandy,Medium,41,55,39,5.1,Vermicompost
Leafy Ornamental,Rooftop,Low,Potting Mix,Low,45,75,77,6.4,Nitrogen Rich
Leafy Ornamental,Indoor,High,Potting Mix,Medium,58,70,39,6.6,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Clay,High,64,74,77,6.6,Balanced NPK
Succulent,Indoor,High,Loamy,High,45,33,55,5.5,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Loamy,Medium,43,40,69,6.3,Balanced NPK
Leafy Ornamental,Indoor,Medium,Sandy,High,66,34,35,5.9,Phosphorus Rich
Vegetable Plant,Rooftop,Medium,Clay,High,60,75,70,6.5,Balanced NPK
Leafy Ornamental,Outdoor Garden,Medium,Loamy,High,58,22,69,5.1,Phosphorus Rich
Indoor Plant,Balcony,Medium,Loamy,High,78,80,65,6.4,Liquid Fertilizer
Vegetable Plant,Outdoor Garden,Medium,Loamy,Medium,26,39,20,6.7,Nitrogen Rich
Herb,Indoor,High,Potting Mix,Low,56,57,52,7.4,Nitrogen Rich
Flower Plant,Indoor,Medium,Sandy,High,52,27,76,6.0,Phosphorus Rich
Herb,Indoor,Low,Sandy,Low,74,60,54,5.7,Nitrogen Rich
Succulent,Indoor,High,Loamy,High,26,43,23,5.3,Nitrogen Rich
Vegetable Plant,Balcony,Medium,Potting Mix,Medium,29,43,48,5.6,Nitrogen Rich
Flower Plant,Balcony,Low,Potting Mix,Low,28,48,45,6.5,Nitrogen Rich
Herb,Outdoor Garden,Low,Loamy,High,42,79,51,7.0,Nitrogen Rich
Leafy Ornamental,Balcony,Medium,Clay,Medium,22,55,23,6.6,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Low,61,34,25,6.9,Phosphorus Rich
Herb,Indoor,Medium,Sandy,Medium,31,44,80,7.4,Nitrogen Rich
Indoor Plant,Balcony,Medium,Potting Mix,Low,77,46,41,5.1,Liquid Fertilizer
Vegetable Plant,Balcony,Low,Clay,Low,47,36,38,7.4,Balanced NPK
Leafy Ornamental,Rooftop,High,Potting Mix,High,58,38,66,7.5,Nitrogen Rich
Vegetable Plant,Indoor,High,Sandy,Low,79,66,72,6.2,Balanced NPK
Indoor Plant,Balcony,High,Potting Mix,Medium,28,21,58,5.5,Nitrogen Rich
Succulent,Rooftop,Medium,Loamy,High,45,79,40,6.8,Compost
Vegetable Plant,Rooftop,Medium,Potting Mix,Low,65,71,51,5.7,Balanced NPK
Leafy Ornamental,Indoor,Medium,Potting Mix,Medium,74,68,77,5.7,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Sandy,Low,42,32,38,5.4,Phosphorus Rich
Vegetable Plant,Balcony,Medium,Sandy,High,32,29,72,7.4,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Loamy,High,36,80,27,7.2,Balanced NPK
Vegetable Plant,Balcony,Low,Sandy,High,62,42,37,7.3,Balanced NPK
Leafy Ornamental,Balcony,Low,Potting Mix,Medium,20,43,45,7.3,Nitrogen Rich
Succulent,Indoor,High,Clay,High,76,53,79,5.4,Compost
Indoor Plant,Outdoor Garden,Low,Potting Mix,Low,29,45,32,5.5,Nitrogen Rich
Indoor Plant,Rooftop,High,Loamy,Medium,53,79,26,6.8,Balanced NPK
Flower Plant,Rooftop,Medium,Potting Mix,Low,48,35,35,5.4,Bone Meal
Herb,Rooftop,Medium,Potting Mix,High,47,48,38,6.1,Nitrogen Rich
Succulent,Balcony,High,Sandy,High,60,74,38,6.9,Compost
Succulent,Outdoor Garden,High,Potting Mix,Medium,57,63,29,7.4,Balanced NPK
Vegetable Plant,Balcony,High,Loamy,Low,32,46,51,5.9,Nitrogen Rich
Herb,Rooftop,High,Potting Mix,Medium,52,36,65,7.0,Nitrogen Rich
Indoor Plant,Balcony,Low,Potting Mix,High,47,77,48,6.6,Liquid Fertilizer
Flower Plant,Rooftop,Low,Loamy,Low,45,27,77,6.8,Phosphorus Rich
Flower Plant,Indoor,Medium,Potting Mix,High,20,41,35,5.8,Nitrogen Rich
Flower Plant,Rooftop,Low,Loamy,Low,61,40,70,7.4,Bone Meal
Leafy Ornamental,Indoor,High,Sandy,Low,45,45,37,6.4,Nitrogen Rich
Indoor Plant,Rooftop,Low,Potting Mix,Low,54,23,75,5.3,Phosphorus Rich
Succulent,Rooftop,High,Clay,Low,24,27,42,5.7,Nitrogen Rich
Leafy Ornamental,Rooftop,High,Potting Mix,High,78,26,43,6.2,Phosphorus Rich
Vegetable Plant,Indoor,Medium,Sandy,Low,63,44,69,6.1,Balanced NPK
Succulent,Outdoor Garden,Low,Loamy,High,44,42,23,5.7,Balanced NPK
Indoor Plant,Rooftop,Medium,Loamy,Low,39,75,80,6.2,Liquid Fertilizer
Leafy Ornamental,Rooftop,Low,Clay,Low,60,70,55,7.5,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Sandy,Low,41,22,46,5.3,Phosphorus Rich
Indoor Plant,Balcony,Low,Sandy,Medium,75,50,74,6.5,Liquid Fertilizer
Succulent,Outdoor Garden,High,Sandy,Medium,28,65,59,7.2,Nitrogen Rich
Indoor Plant,Indoor,High,Potting Mix,High,42,31,75,7.4,Phosphorus Rich
